,test_idx,day_idx,bf_01,significant_and_stop_bf,hdi_width,stop_bp,mean_delta,lower_ci,upper_ci,significant_ci
8073,403,13,78.189701679,False,0.0584917226678,True,-0.00588364290867,-0.035017336794,0.023474385873699998,False
8074,403,14,76.7557452691,False,0.0590125711336,True,-0.00392306196102,-0.0323467040485,0.0266658670851,False
8075,403,15,82.84667728689999,False,0.05757788412380001,True,-0.00168274352393,-0.0313445039952,0.026233380128599996,False
8076,403,16,85.4749658613,False,0.057257752791999995,True,0.00063154428397,-0.0259787111439,0.0312790416481,False
8077,403,17,71.6308319512,False,0.056524877887399995,True,-0.00861695642299,-0.0364039250226,0.0201209528649,False
8078,403,18,62.4648612157,False,0.05853310630149999,True,-0.011212707994799998,-0.0391336465108,0.0193994597906,False
8079,403,19,61.9732451124,False,0.056516952061099995,True,-0.0123133108943,-0.0383135000347,0.018203452026400002,False
8080,404,0,26.9546697315,False,0.13882764730799999,False,0.0228600397853,-0.049774929214699996,0.0890527180938,False
8081,404,1,15.93615551,False,0.09965384766830002,False,0.0402671221128,-0.0084564394769,0.0911974081914,False
8082,404,2,5.80270664148,False,0.0891329211245,False,0.049769672368,0.0022884889111799995,0.0914214100357,True
8083,404,3,18.4688806989,False,0.0797471806519,True,0.033139516407,-0.0082407319342,0.0715064487177,False
8084,404,4,52.0981842584,False,0.0723632388451,True,0.0136539994333,-0.0228615754394,0.0495016634057,False
8085,404,5,50.374232011000004,False,0.0701272411661,True,0.0146064254379,-0.020187540765900003,0.049939700400199995,False
8086,404,6,35.8276563463,False,0.0679532556044,True,0.021278353032,-0.012195590327099999,0.0557576652773,False
8087,404,7,43.8728832334,False,0.0665917236211,True,0.0169765483539,-0.015983555011200003,0.0506081686099,False
8088,404,8,73.3365896943,False,0.06324056514740001,True,0.00721417027755,-0.0241397660615,0.0391007990859,False
8089,404,9,70.6830591275,False,0.0632189037388,True,0.005841586949239999,-0.0244101701736,0.038808733565199996,False
8090,404,10,70.3699800479,False,0.059454637205300004,True,0.00811268013282,-0.0230921902617,0.0363624469435,False
8091,404,11,81.1122115439,False,0.060791406727,True,-0.00239649852083,-0.0313586610244,0.0294327457026,False
8092,404,12,82.2995925445,False,0.05852915145269999,True,-0.00224312643413,-0.030922750088,0.027606401364700002,False
8093,404,13,78.821801945,False,0.0601160497041,True,-0.00198633828323,-0.0312586923673,0.0288573573367,False
8094,404,14,77.6417407442,False,0.056760191670300005,True,-0.00601238286341,-0.035200311820999995,0.0215598798493,False
8095,404,15,74.0408188235,False,0.0572896535166,True,-0.007187085685149999,-0.037056769477400005,0.0202328840392,False
8096,404,16,79.113740813,False,0.0572000141292,True,-0.00242721708101,-0.0315786329146,0.025621381214700003,False
8097,404,17,80.65755113510001,False,0.0561023061773,True,-0.0044152217673,-0.0316151773095,0.0244871288678,False
8098,404,18,59.0280043543,False,0.0579682933371,True,-0.0119892585626,-0.0408605312697,0.0171077620674,False
8099,404,19,45.0698672888,False,0.056941769156300004,True,-0.016989792207,-0.04580827649830001,0.011133492658,False
8100,405,0,29.83537381,False,0.142269470707,False,0.0124506495982,-0.0606254333958,0.081644037311,False
8101,405,1,34.1646991099,False,0.10006214467800001,False,-0.0189764195859,-0.0685666707139,0.031495473963900004,False
8102,405,2,35.2585415135,False,0.0848311713821,False,-0.022223430068700003,-0.06681949952630001,0.0180116718557,False
8103,405,3,37.8483350502,False,0.08024209997489999,False,-0.020578068642500003,-0.062021932272699996,0.0182201677023,False
8104,405,4,52.8309108766,False,0.0742143619846,True,-0.010580918110700001,-0.0473218513374,0.0268925106472,False
8105,405,5,53.0839243737,False,0.0695491153606,True,-0.012919474625200001,-0.047620714996499995,0.021928400364099997,False
8106,405,6,63.2480314808,False,0.0680529653065,True,-0.00752408848702,-0.0412511323544,0.026801832952099997,False
8107,405,7,73.3386455198,False,0.0666168254854,True,0.00216376674623,-0.0297741946496,0.0368426308358,False
8108,405,8,57.7822343793,False,0.06188632624419999,True,-0.0120911319135,-0.04266766289340001,0.019218663350799997,False
8109,405,9,42.8473512589,False,0.0611182101837,True,-0.0181583822162,-0.047479434184999995,0.0136387759987,False
8110,405,10,55.657027421,False,0.0590434941817,True,-0.013652891987399999,-0.0425446171229,0.0164988770588,False
8111,405,11,45.2369814687,False,0.0573654962426,True,-0.0166694496434,-0.0459290778806,0.011436418362,False
8112,405,12,40.8836587677,False,0.0580980929897,True,-0.0174942171203,-0.047864465378599994,0.0102336276112,False
8113,405,13,69.5256971316,False,0.058677242840099994,True,-0.008878843556790002,-0.0379301108266,0.0207471320135,False
8114,405,14,82.224016994,False,0.058704864621000004,True,-0.0023383506442100003,-0.030698937072400005,0.0280059275486,False
8115,405,15,82.5770194137,False,0.05697473745540001,True,0.000825748946984,-0.0278232825625,0.029151454892799997,False
8116,405,16,80.2235362402,False,0.05652514232369999,True,-0.00020866106201200001,-0.0266617562547,0.029863386069,False
8117,405,17,78.5520549655,False,0.05834413909580001,True,-0.0059929928648599995,-0.0362732289904,0.0220709101054,False
8118,405,18,84.8389265797,False,0.056345283081700004,True,-0.00443666735854,-0.0326115207833,0.0237337622983,False
8119,405,19,80.2609663203,False,0.0554663405814,True,-0.0044247912564,-0.0326832368108,0.022783103770499996,False
8120,406,0,29.8648211977,False,0.138188720013,False,-0.0185217733819,-0.0838749618821,0.0543137581312,False
8121,406,1,44.6724651121,False,0.103485007482,False,-0.00196685421927,-0.050253028504800006,0.053231978977300004,False
8122,406,2,29.797599529899998,False,0.09110215355389999,False,-0.024196413059799998,-0.0701984713749,0.0209036821791,False
8123,406,3,14.493739758299998,False,0.07811641128119999,True,-0.0351609592738,-0.0744311443201,0.0036852669610500004,False
8124,406,4,7.628228549580001,False,0.0735662479956,True,-0.0400094404934,-0.0758914250148,-0.0023251770191199997,True
8125,406,5,12.8405588513,False,0.0702552266465,True,-0.033265041179200004,-0.0671722396056,0.00308298704096,False
8126,406,6,3.4980081044199998,False,0.066070481951,True,-0.0420900025427,-0.074983910997,-0.00891342904598,True
8127,406,7,4.46034212554,False,0.0633133083212,True,-0.0388174172315,-0.0721285430139,-0.00881523469266,True
8128,406,8,36.711883692600004,False,0.062601400559,True,-0.0207964817033,-0.053476599432800004,0.0091248011262,False
8129,406,9,14.574982670999999,False,0.0615239097505,True,-0.028039363235,-0.0602749760133,0.00124893373718,False
8130,406,10,24.6022899079,False,0.0606541348042,True,-0.024763892500499998,-0.0551069033045,0.005547231499739999,False
8131,406,11,5.32316339311,False,0.0606639657203,True,-0.036070218903300005,-0.0666352478177,-0.00597128209737,True
8132,406,12,4.1462023627399995,False,0.0581955574186,True,-0.038103720317599996,-0.0664546174527,-0.008259060034060002,True
8133,406,13,3.7784617471099997,False,0.05976260428180001,True,-0.038398485524499995,-0.0674199818096,-0.00765737752779,True
8134,406,14,4.40077067592,False,0.0582437955526,True,-0.0355120564699,-0.0661625493851,-0.0079187538325,True
8135,406,15,8.47880229855,False,0.0570785494324,True,-0.0317803402812,-0.0598035846942,-0.00272503526184,True
8136,406,16,53.4032038797,False,0.056467854985100006,True,-0.013933231558399999,-0.0433719450323,0.0130959099529,False
8137,406,17,65.5297182397,False,0.055846061902,True,-0.0107367655037,-0.0393468403651,0.0164992215369,False
8138,406,18,82.2281098267,False,0.0553929183111,True,-0.0055885121378700005,-0.0329359895639,0.0224569287472,False
8139,406,19,80.33593244560001,False,0.057733381951,True,-0.00502589194209,-0.035944229171099996,0.021789152779900005,False
8140,407,0,22.102255763000002,False,0.142690445261,False,0.035958147389300005,-0.0375257781334,0.105164667128,False
8141,407,1,21.871838064200002,False,0.10314216296499999,False,0.032494983054599996,-0.0211323889549,0.08200977400960001,False
8142,407,2,28.2504327286,False,0.09042168335,False,0.0263954225565,-0.0192366058601,0.0711850774899,False
8143,407,3,35.990002795,False,0.0822285291102,False,0.0218057366428,-0.0189838119162,0.0632447171939,False
8144,407,4,63.0758939218,False,0.07481040822160001,True,0.0037176873907399997,-0.033814363312,0.040996044909599995,False
8145,407,5,68.8867947694,False,0.0691823261701,True,-0.00231408975497,-0.036920838473400004,0.0322614876967,False
8146,407,6,68.1421179186,False,0.0656722920804,True,0.0053625427834,-0.026472698396099996,0.03919959368440001,False
8147,407,7,56.825722507799995,False,0.06337601809849999,True,0.011547792553199999,-0.0197950911103,0.04358092698819999,False
8148,407,8,69.9660126564,False,0.0614453804985,True,0.00813650818225,-0.022498743348599998,0.0389466371499,False
8149,407,9,79.2580763682,False,0.0601525089985,True,0.0019604462188,-0.0281340241817,0.032018484816799996,False
8150,407,10,64.1681711857,False,0.061939938845899996,True,0.011334865116700002,-0.02065333471,0.0412866041359,False
8151,407,11,68.4802862398,False,0.058838254016699995,True,0.009180231033440001,-0.021098572250099996,0.037739681766599996,False
8152,407,12,65.09007876300001,False,0.059130567558199995,True,0.00914503727326,-0.021981911894799998,0.037148655663400004,False
8153,407,13,48.327478910299995,False,0.05798332860640001,True,0.015110308205799998,-0.014162928390799998,0.043820400215600006,False
8154,407,14,52.6764075217,False,0.0582706350607,True,0.0153471200332,-0.013042149664200002,0.0452284853965,False
8155,407,15,33.0156303991,False,0.0589724793456,True,0.0208559397338,-0.00840399090931,0.0505684884363,False
8156,407,16,60.2762065667,False,0.0575917465394,True,0.013613270737399999,-0.0144834643982,0.043108282141199994,False
8157,407,17,61.3733008148,False,0.0578098035984,True,0.0115685367087,-0.0167713997216,0.0410384038768,False
8158,407,18,58.5546637732,False,0.056554914115699996,True,0.0123421011783,-0.0171164143217,0.039438499794,False
8159,407,19,51.5588125625,False,0.057196240614800005,True,0.015110569516900001,-0.014440045867700002,0.042756194747199994,False
8160,408,0,31.1721414942,False,0.143147191542,False,0.0151251284981,-0.06036363775769999,0.0827835537838,False
8161,408,1,34.899478820300004,False,0.10071817890799999,False,0.0202428736275,-0.030465389309900004,0.0702527895985,False
8162,408,2,41.6810056755,False,0.08777542843019999,False,0.0168256552174,-0.027211013761400005,0.060564414668800005,False
8163,408,3,40.334659170100004,False,0.0792731709957,True,0.0184757494551,-0.0206870469578,0.058586124038,False
8164,408,4,35.1741164146,False,0.07200640695039999,True,0.0220202563595,-0.0128152244035,0.059191182547,False
8165,408,5,28.8433237234,False,0.0685565751167,True,0.025270970528599997,-0.00947038727318,0.059086187843500004,False
8166,408,6,27.315056143400003,False,0.06762689707830001,True,0.0244216858485,-0.011400649572100002,0.056226247506099995,False
8167,408,7,22.9521833072,False,0.0639960364688,True,0.0242722017533,-0.00787154622477,0.05612449024400001,False
8168,408,8,27.5086629302,False,0.0612405322385,True,0.023245642171999998,-0.00589902888269,0.05534150335580001,False
8169,408,9,42.1061382253,False,0.061507573483,True,0.018880039344400003,-0.0121474668551,0.049360106627900004,False
8170,408,10,54.1656496062,False,0.0608253842975,True,0.012579951862000002,-0.0161621886575,0.04466319563999999,False
8171,408,11,79.08371696319999,False,0.057711944465,True,0.005921722188439999,-0.023010399220199998,0.0347015452448,False
8172,408,12,47.254433820699994,False,0.056462126015300006,True,0.0157325348267,-0.012032644611299999,0.044429481404,False
8173,408,13,72.5557898257,False,0.0585296482158,True,0.006394360964060001,-0.0241190945169,0.034410553698900004,False
8174,408,14,80.72694496390001,False,0.056157177591199994,True,0.00372916186127,-0.024429644509999997,0.0317275330812,False
8175,408,15,80.8810060689,False,0.0582867211715,True,-0.0037354720677,-0.0331587457913,0.0251279753802,False
8176,408,16,74.6970808168,False,0.055364241581499996,True,-0.00787309403346,-0.0357928435649,0.0195713980165,False
8177,408,17,64.9370669797,False,0.05533906896869999,True,-0.011392781816,-0.0381053171211,0.0172337518475,False
8178,408,18,78.09158401479999,False,0.05588953700780001,True,-0.00603687024659,-0.0362431827243,0.019646354283400003,False
8179,408,19,53.742035187,False,0.05464943626280001,True,-0.0146736105384,-0.0420123534129,0.0126370828499,False
8180,409,0,31.4167760009,False,0.142563199484,False,0.01184549352,-0.0576200262595,0.0849431732247,False
8181,409,1,47.3928255805,False,0.100946093582,False,0.00167857975821,-0.0483799149314,0.05256617865069999,False
8182,409,2,48.1390900663,False,0.0886799435668,False,0.00739612336409,-0.038229541132699996,0.050450402434199994,False
8183,409,3,36.9885355286,False,0.0790598634082,True,0.0207475133818,-0.0175502421675,0.0615096212407,False
8184,409,4,50.5691638712,False,0.0733032256051,True,0.0123043580454,-0.024505485046099996,0.048797740559,False
8185,409,5,48.9393333908,False,0.0710612972067,True,0.0147373732465,-0.019811227900200002,0.0512500693065,False
8186,409,6,65.9135354589,False,0.0647971453484,True,0.00545869611267,-0.0266442855419,0.038152859806499996,False
8187,409,7,72.0777452809,False,0.0652446210481,True,0.00271606708263,-0.0294641387352,0.0357804823129,False
8188,409,8,76.7899316663,False,0.0634217489235,True,0.00239310728825,-0.030620059416900002,0.032801689506500004,False
8189,409,9,72.5275154337,False,0.061054016151,True,0.00670991054542,-0.024543985236999997,0.036510030914,False
8190,409,10,54.0041486116,False,0.058177153628500004,True,0.0136977334934,-0.0155149362682,0.0426622173604,False
8191,409,11,71.17813790000001,False,0.059490637744000006,True,0.00723362062516,-0.022287174239500003,0.037203463504499996,False
8192,409,12,77.9946127333,False,0.0588400150373,True,0.0032669098907199996,-0.0255757505706,0.0332642644667,False
8193,409,13,81.831305115,False,0.0576510330535,True,-0.000503286857514,-0.0285029052424,0.0291481278112,False
8194,409,14,76.2331895771,False,0.0559228836225,True,0.00625932667152,-0.022365606700499998,0.033557276922,False
8195,409,15,66.984067942,False,0.057815165225499995,True,0.00984768096478,-0.0194075573942,0.0384076078312,False
8196,409,16,84.43183659569999,False,0.0562629854087,True,0.0053711671527100005,-0.023496480134799998,0.0327665052738,False
8197,409,17,75.5990197708,False,0.056273365968000005,True,0.00713543966488,-0.0210821214888,0.035191244479199996,False
8198,409,18,75.7755042065,False,0.05442990145280001,True,0.00807741739645,-0.0197822671988,0.034647634254,False
8199,409,19,87.1741895541,False,0.054893621189,True,0.00187815018996,-0.026875442288099998,0.028018178900900005,False
8200,410,0,30.0202633761,False,0.13872898200099998,False,0.0179094948638,-0.0534575619591,0.0852714200417,False
8201,410,1,40.6390557881,False,0.10363449993599999,False,0.0130101324513,-0.039200375367199995,0.06443412456849999,False
8202,410,2,32.501880169699994,False,0.08802457887010001,False,0.023396604909799997,-0.0211194207046,0.0669051581655,False
8203,410,3,29.8399115493,False,0.0798909578586,True,0.0237603835004,-0.015432711073399998,0.0644582467852,False
8204,410,4,20.4742472271,False,0.07426221054269999,True,0.0298821442057,-0.006626117634460001,0.0676360929082,False
8205,410,5,8.516001028889999,False,0.06751365151580001,True,0.036594416000099994,0.0022663874433000004,0.06978003895910001,True
8206,410,6,1.20449349365,False,0.0681093364657,True,0.04874157493919999,0.0151326547819,0.08324199124760001,True
8207,410,7,3.3676875700499997,False,0.06265449797969999,True,0.042158225119400004,0.0110829688787,0.07373746685839999,True
